Customer,Item,Quantity
C-DOT,Support Plans,3
CELLCOM,RANAdvisor Product,3
CENTERLINE SOLUTIONS,RANAdvisor Product,2
CENTERLINE SOLUTIONS,RANAdvisor Services & Support,1
CENTRACOM,DSAM,2
CENTRAL POWER & TELECOM,Accessories,8
CENTRAL POWER & TELECOM,Digital Inspection & Test,2
CENTRO DE TECNOLOGIA DA INFORMACAO,Digital Inspection & Test,2
CENTRO DE TECNOLOGIA DA INFORMACAO,HST-3000 SIMs,12
CENTRO DE TECNOLOGIA DA INFORMACAO,HST-3000C,12
CENTRO DE TECNOLOGIA DA INFORMACAO,HST-3000C-CE,12
CENTRO DE TECNOLOGIA DA INFORMACAO,TB-6000A Transport Module,8
CENTRO DE TECNOLOGIA DA INFORMACAO,T-BERD 8000,2
CENTRO DE TECNOLOGIA DA INFORMACAO,T-Berd/MTS-5800,10
CENTURYLINK,Accessories,1
CENTURYLINK,Digital Inspection & Test,1
CENTURYLINK,DSAM,6
CENTURYLINK,FST-2000,7
CENTURYLINK,HST-3000 SIMs,45
CENTURYLINK,HST-3000C,17
CENTURYLINK,HST-3000C-CE,109
CENTURYLINK,Probe Tips,8
CENTURYLINK,Repair,3
CENTURYLINK,SMARTClass Fiber,1
CENTURYLINK,SmartClass Triple Play,4
CENTURYLINK,T3AS,3
CENTURYLINK,TB-6000A Transport Module,1
CENTURYLINK,T-Berd/MTS-5800,3
CENTURYLINK,Test Devices,31
CENTURYLINK,Ultra FED,24
CENTURYLINK/QWEST,Accessories,3
CENTURYLINK/QWEST,Certifier,4
CENTURYLINK/QWEST,DSAM,13
CENTURYLINK/QWEST,FST-2000,19
CENTURYLINK/QWEST,FST-2310-DS3,4
CENTURYLINK/QWEST,HST-3000 SIMs,47
CENTURYLINK/QWEST,HST-3000C,125
CENTURYLINK/QWEST,HST-3000C-CE,178
CENTURYLINK/QWEST,Probe Tips,18
CENTURYLINK/QWEST,Repair,6
CENTURYLINK/QWEST,SMARTClass Fiber,4
CENTURYLINK/QWEST,TB/MTS 8000 Platform,1
CENTURYLINK/QWEST,T-BERD 8000,4
CENTURYLINK/QWEST,T-Berd/MTS-5800,4
CENTURYLINK/QWEST,Test Devices,125
CENTURYLINK/QWEST,Ultra FED,64
CHARITON VALLEY TELEPHONE,RANAdvisor Product,2
CHARITON VALLEY TELEPHONE,RANAdvisor Services & Support,1
CHARTER COMMUNICATIONS,Common Product,2
CHARTER COMMUNICATIONS,DSAM,58
CHARTER COMMUNICATIONS,HCU1500,31
CHARTER COMMUNICATIONS,HST-3000C-CE,2
CHARTER COMMUNICATIONS,Repair,92
CHARTER COMMUNICATIONS,SDA,2
CHARTER COMMUNICATIONS,StrataSync,41
CHICAGO COMMUNICATIONS,RANAdvisor Product,6
CHICAGO COMMUNICATIONS,RANAdvisor Services & Support,3
CHINA MOBILE,PT Hardware,2
CHINA MOBILE,PT SART,9
CHINA MOBILE,Support Plans,4
CHINA NETWORK SYSTEMS,DSAM,15
CHINA NETWORK SYSTEMS,HCU1500,11
CHINA NETWORK SYSTEMS,PathTrak,17
CHINA NETWORK SYSTEMS,StrataSync,2
CHINA RAILWAY,HST-3000C,3
CHINA RAILWAY,Probe Tips,22
CHINA RAILWAY,SmartClass E1,40
CHINA RAILWAY,Support Plans,12
CHINA RAILWAY,T-Berd/MTS-5800,55
CHINA RAILWAY,Test Devices,8
CHINA TELECOM,Analog Inspection & Test,2
CHINA TELECOM,HST-3000C,13
CHINA TELECOM,HST-3000C-CE,13
CHINA TELECOM,T-Berd/MTS-5800,12
CHINA UNICOM,Location Intelligence Product,4
CHINA UNICOM,PT Hardware,4
CHINA UNICOM,PT SART,30
CHINA UNICOM,PT SART Support,4
CHINA UNICOM,TB-6000A Transport Module,3
